"department","id","name","mgr_id"
"Engineering",10,"Peter","none"
"Engineering",11,"Sarah","  10"
"Engineering",12,"Dale","  10"
"Engineering",17,"Elizabeth","  13"
"Engineering",18,"Richard","  13"
"Engineering",13,"John","  10"
"Engineering",14,"Sophia","  15"
"Engineering",15,"Jessy","  12"
"Engineering",16,"Gary","  12"
"Marketing",1,"Dave","none"
"Marketing",2,"Kim","   1"
"Marketing",3,"Donna","   1"
"Marketing",4,"Rob","   1"
"Marketing",5,"Fran","   2"
"Marketing",6,"Mark","   2"
"Marketing",7,"Richard","   3"
"Marketing",8,"Pat","   4"
"Marketing",9,"Don","   4"
